event_id,event_ts,event_date,user_id,session_id,event_type,product_id,product_name,device,country,traffic_source
e_u_00001_s_u_00001_000_1768192471,2026-01-12 04:34:31+00:00,2026-01-12 00:00:00,u_00001,s_u_00001_000,page_view,p_0078,Product 078,desktop,US,paid
e_u_00001_s_u_00001_000_1768192537,2026-01-12 04:35:37+00:00,2026-01-12 00:00:00,u_00001,s_u_00001_000,product_view,p_0078,Product 078,mobile,US,paid
e_u_00001_s_u_00001_000_1768192554,2026-01-12 04:35:54+00:00,2026-01-12 00:00:00,u_00001,s_u_00001_000,product_view,p_0078,Product 078,mobile,US,referral
e_u_00001_s_u_00001_000_1768192555,2026-01-12 04:35:55+00:00,2026-01-12 00:00:00,u_00001,s_u_00001_000,page_view,p_0078,Product 078,mobile,US,paid
e_u_00001_s_u_00001_000_1768192585,2026-01-12 04:36:25+00:00,2026-01-12 00:00:00,u_00001,s_u_00001_000,page_view,p_0078,Product 078,desktop,US,email
e_u_00001_s_u_00001_000_1768192640,2026-01-12 04:37:20+00:00,2026-01-12 00:00:00,u_00001,s_u_00001_000,page_view,p_0078,Product 078,desktop,US,organic
e_u_00001_s_u_00001_000_1768192701,2026-01-12 04:38:21+00:00,2026-01-12 00:00:00,u_00001,s_u_00001_000,product_view,p_0078,Product 078,tablet,US,organic
e_u_00001_s_u_00001_000_1768192783,2026-01-12 04:39:43+00:00,2026-01-12 00:00:00,u_00001,s_u_00001_000,product_view,p_0078,Product 078,mobile,UK,paid
e_u_00001_s_u_00001_001_1768017723,2026-01-10 04:02:03+00:00,2026-01-10 00:00:00,u_00001,s_u_00001_001,page_view,p_0004,Product 004,mobile,US,organic
e_u_00001_s_u_00001_001_1768017730,2026-01-10 04:02:10+00:00,2026-01-10 00:00:00,u_00001,s_u_00001_001,page_view,p_0004,Product 004,mobile,US,organic
e_u_00001_s_u_00001_001_1768017754,2026-01-10 04:02:34+00:00,2026-01-10 00:00:00,u_00001,s_u_00001_001,product_view,p_0004,Product 004,desktop,IN,organic
e_u_00001_s_u_00001_001_1768017996,2026-01-10 04:06:36+00:00,2026-01-10 00:00:00,u_00001,s_u_00001_001,product_view,p_0004,Product 004,mobile,US,direct
e_u_00001_s_u_00001_001_1768018009,2026-01-10 04:06:49+00:00,2026-01-10 00:00:00,u_00001,s_u_00001_001,product_view,p_0004,Product 004,desktop,IN,organic
